Time, Pellets, Tension, Distance, Reward
Game 0
Game 1
0.3133334, 42, 0.004431848, 6, 0
0.33, 42, 0.004431848, 6, -0.01937767
0.3466667, 42, 0.004431848, 6, -0.03875535
0.3633333, 42, 0.004431848, 6, -0.05813302
0.38, 41, 0.004431848, 6, -0.0775107
0.3966667, 41, 0.05399097, 5, -0.09746909
0.4133334, 41, 0.05399097, 5, -0.06786837
0.43, 41, 0.05399097, 5, -0.03826764
0.4466667, 41, 0.05399097, 5, -0.008666919
0.4633333, 41, 0.05399097, 5, 0.02093381
0.48, 41, 0.05399097, 5, 0.05053453
0.4966667, 41, 0.05399097, 5, 0.08013526
0.5133334, 41, 0.05399097, 5, 0.109736
0.53, 40, 0.05399097, 5, 0.1393367
0.5466667, 40, 0.004431848, 6, 0.1683277
0.5633333, 40, 0.004431848, 6, 0.1477595
0.58, 40, 0.004431848, 6, 0.1271913
0.5966667, 40, 0.004431848, 6, 0.1066232
0.6133333, 40, 0.004431848, 6, 0.08605503
0.63, 40, 0.004431848, 6, 0.06548689
0.6466667, 40, 0.004431848, 6, 0.04491874
0.6633334, 40, 0.004431848, 6, 0.02435059
0.68, 39, 0.004431848, 6, 0.003782435
0.6966667, 39, 0.2419707, 4, 0.03213238
0.7133334, 39, 0.2419707, 4, 0.2484621
0.73, 39, 0.2419707, 4, 0.4647918
0.7466667, 39, 0.2419707, 4, 0.6811215
0.7633334, 39, 0.2419707, 4, 0.8974512
0.78, 39, 0.2419707, 4, 1.113781
0.7966667, 39, 0.2419707, 4, 1.330111
0.8133333, 39, 0.2419707, 4, 1.54644
0.83, 38, 0.2419707, 4, 1.76277
0.8466667, 38, 0.3989423, 3, 1.978425
0.8633333, 38, 0.3989423, 3, 2.351052
0.88, 38, 0.3989423, 3, 2.723678
0.8966667, 38, 0.3989423, 3, 3.096305
0.9133334, 38, 0.3989423, 3, 3.468931
0.93, 38, 0.3989423, 3, 3.841558
0.9466667, 38, 0.3989423, 3, 4.214184
0.9633334, 38, 0.3989423, 3, 4.586811
0.98, 37, 0.3989423, 3, 4.959438
0.9966667, 37, 0.2419707, 2, 5.331353
1.013333, 37, 0.2419707, 2, 5.546297
1.03, 37, 0.05399097, 1, 5.57326
1.046667, 37, 0.05399097, 1, 5.600224
1.063333, 37, 0.05399097, 1, 5.627188
1.08, 37, 0.05399097, 1, 5.654151
1.096667, 37, 0.05399097, 1, 5.681115
1.113333, 36, 0.05399097, 1, 5.708079
Game 2
0.01666665, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.04999995, 42, 0.004431848, 6, -0.03875535
0.06666672, 42, 0.004431848, 6, -0.05813302
0.08333337, 42, 0.004431848, 6, -0.0775107
0.1, 41, 0.004431848, 6, -0.09688837
0.1166667, 41, 0.05399097, 5, -0.1168468
0.1333333, 41, 0.05399097, 5, -0.08724604
0.15, 41, 0.05399097, 5, -0.05764531
0.1666666, 41, 0.05399097, 5, -0.02804459
0.1833334, 41, 0.05399097, 5, 0.001556135
0.2, 41, 0.05399097, 5, 0.03115686
0.2166667, 41, 0.05399097, 5, 0.06075758
0.2333333, 41, 0.05399097, 5, 0.09035831
0.25, 40, 0.05399097, 5, 0.119959
0.2666667, 40, 0.004431848, 6, 0.14895
0.2833333, 40, 0.004431848, 6, 0.1283818
0.3, 40, 0.004431848, 6, 0.1078137
