Time, Pellets, Tension, Distance, Reward
Game 0
Game 1
0.3133334, 42, 0.004431848, 6, 0
0.33, 42, 0.004431848, 6, -0.01937767
0.3466667, 42, 0.004431848, 6, -0.03875535
0.3633333, 42, 0.004431848, 6, -0.05813302
0.38, 41, 0.004431848, 6, -0.0775107
0.3966667, 41, 0.05399097, 5, -0.09746909
0.4133334, 41, 0.05399097, 5, -0.06786837
0.43, 41, 0.05399097, 5, -0.03826764
0.4466667, 41, 0.05399097, 5, -0.008666919
0.4633333, 41, 0.05399097, 5, 0.02093381
0.48, 41, 0.05399097, 5, 0.05053453
0.4966667, 41, 0.05399097, 5, 0.08013526
0.5133334, 41, 0.05399097, 5, 0.109736
0.53, 40, 0.05399097, 5, 0.1393367
0.5466667, 40, 0.004431848, 6, 0.1683277
0.5633333, 40, 0.004431848, 6, 0.1477595
0.58, 40, 0.004431848, 6, 0.1271913
0.5966667, 40, 0.004431848, 6, 0.1066232
0.6133333, 40, 0.004431848, 6, 0.08605503
0.63, 40, 0.004431848, 6, 0.06548689
0.6466667, 40, 0.004431848, 6, 0.04491874
0.6633334, 40, 0.004431848, 6, 0.02435059
0.68, 39, 0.004431848, 6, 0.003782435
0.6966667, 39, 0.05399097, 5, -0.01742674
0.7133334, 39, 0.05399097, 5, 0.0109232
0.73, 39, 0.004431848, 6, -0.01028598
0.7466667, 39, 0.004431848, 6, -0.03149516
0.7633334, 39, 0.004431848, 6, -0.05270433
0.78, 39, 0.004431848, 6, -0.07391351
0.7966667, 39, 0.004431848, 6, -0.09512269
0.8133333, 39, 0.004431848, 6, -0.1163319
0.83, 38, 0.004431848, 6, -0.137541
0.8466667, 38, 0.05399097, 5, -0.159425
0.8633333, 38, 0.05399097, 5, -0.1317498
0.88, 38, 0.05399097, 5, -0.1040746
0.8966667, 38, 0.05399097, 5, -0.07639945
0.9133334, 38, 0.05399097, 5, -0.04872427
0.93, 38, 0.05399097, 5, -0.02104909
0.9466667, 38, 0.05399097, 5, 0.006626088
0.9633334, 38, 0.05399097, 5, 0.03430127
0.98, 37, 0.05399097, 5, 0.06197644
0.9966667, 37, 0.2419707, 4, 0.08894038
1.013333, 37, 0.2419707, 4, 0.3038841
1.03, 37, 0.2419707, 4, 0.5188278
1.046667, 37, 0.2419707, 4, 0.7337715
1.063333, 37, 0.05399097, 5, 0.7607355
1.08, 37, 0.05399097, 5, 0.7876994
1.096667, 37, 0.05399097, 5, 0.8146634
1.113333, 36, 0.05399097, 5, 0.8416273
1.13, 36, 0.05399097, 5, 0.8678405
1.146667, 36, 0.2419707, 4, 0.8940536
1.163333, 36, 0.2419707, 4, 1.108247
1.18, 36, 0.2419707, 4, 1.32244
1.196667, 36, 0.2419707, 4, 1.536633
1.213333, 36, 0.2419707, 4, 1.750826
1.23, 36, 0.2419707, 4, 1.965019
1.246667, 36, 0.2419707, 4, 2.179212
1.263333, 35, 0.2419707, 4, 2.393405
1.28, 35, 0.2419707, 4, 2.606804
1.296667, 35, 0.05399097, 5, 2.820204
1.313333, 35, 0.05399097, 5, 2.845623
1.33, 35, 0.05399097, 5, 2.871043
1.346667, 35, 0.05399097, 5, 2.896463
1.363333, 35, 0.05399097, 5, 2.921882
1.38, 35, 0.05399097, 5, 2.947302
1.396667, 35, 0.05399097, 5, 2.972722
1.413333, 34, 0.05399097, 5, 2.998142
